order_no,company_customer_cd,company_item_cd,amount,order_date,status_order
9010,6135,55259,5920,2013/03/02,1
9010,6135,55241,5920,2013/03/02,1
9010,6135,54766,5920,2013/03/02,1
9010,6135,55257,5920,2013/03/02,1
9011,6081,54432,5895,2013/03/02,1
9011,6081,44814,5895,2013/03/02,1
9011,6081,35026,5895,2013/03/02,1
9012,6136,54230,6140,2013/03/02,1
9012,6136,54226,6140,2013/03/02,1
9012,6136,43565,6140,2013/03/02,1
9013,6040,43561,9800,2013/03/02,1
9013,6040,54265,9800,2013/03/02,1
9013,6040,44823,9800,2013/03/02,1
9013,6040,43249,9800,2013/03/02,1
9013,6040,39362,9800,2013/03/02,1
9014,6138,54576,3995,2013/03/02,1
9014,6138,54572,3995,2013/03/02,1
9015,6140,54634,2890,2013/03/02,1
9016,,54552,1680,2013/03/02,1
9016,,34683,1680,2013/03/02,1
9017,,54802,980,2013/03/02,1
9018,5756,54444,4944,2013/03/02,1
9018,5756,45676,4944,2013/03/02,1
9018,5756,55077,4944,2013/03/02,1
9019,6143,45624,2680,2013/03/02,1
9020,6144,54239,6930,2013/03/02,1
9020,6144,37553,6930,2013/03/02,1
9020,6144,54332,6930,2013/03/02,1
9020,6144,40622,6930,2013/03/02,1
9021,6149,54266,2280,2013/03/02,7
9022,6149,54266,2580,2013/03/02,3
9023,,55436,10700,2013/03/02,1
9023,,43226,10700,2013/03/02,1
9023,,54799,10700,2013/03/02,1
9023,,44127,10700,2013/03/02,1
9023,,54437,10700,2013/03/02,1
9023,,55131,10700,2013/03/02,1
9024,6149,54266,2580,2013/03/02,1
9025,,36740,2180,2013/03/02,1
9026,6142,54598,2495,2013/03/02,1
9027,6151,55267,1880,2013/03/02,1
9028,6148,54932,4940,2013/03/02,1
9028,6148,54935,4940,2013/03/02,1
9028,6148,55102,4940,2013/03/02,1
9029,2480,54734,1984,2013/03/02,1
9029,2480,54769,1984,2013/03/02,1
9030,950,44462,675,2013/03/02,1
9031,,54116,5540,2013/03/02,1
9031,,41813,5540,2013/03/02,1
9031,,45261,5540,2013/03/02,1
9032,5702,55413,3560,2013/03/02,1
9032,5702,55390,3560,2013/03/02,1
9033,,45601,3460,2013/03/02,1
9033,,55398,3460,2013/03/02,1
9034,,45624,9430,2013/03/02,1
9034,,45582,9430,2013/03/02,1
9034,,55383,9430,2013/03/02,1
9034,,54633,9430,2013/03/02,1
9035,4872,54797,3323,2013/03/02,1
9035,4872,44789,3323,2013/03/02,1
9035,4872,44462,3323,2013/03/02,1
9036,6155,43738,2295,2013/03/02,1
9037,,42591,1315,2013/03/02,1
9038,,54358,1995,2013/03/02,1
9039,6157,43609,5730,2013/03/02,1
9039,6157,55418,5730,2013/03/02,1
9039,6157,45636,5730,2013/03/02,1
9039,6157,55271,5730,2013/03/02,1
9040,,55072,1180,2013/03/02,1
9041,6158,54358,1380,2013/03/02,1
9042,6159,35424,2160,2013/03/02,1
9042,6159,54550,2160,2013/03/02,1
9043,6158,54356,1680,2013/03/02,1
9044,6160,23435,2000,2013/03/02,1
9044,6160,23433,2000,2013/03/02,1
9045,,36697,1805,2013/03/02,1
9046,6156,54293,6750,2013/03/02,1
9046,6156,43924,6750,2013/03/02,1
9046,6156,44020,6750,2013/03/02,1
9047,6163,44969,4460,2013/03/02,1
9047,6163,44758,4460,2013/03/02,1
9048,6164,45397,1890,2013/03/02,1
9049,6165,55084,5640,2013/03/02,1
9049,6165,55093,5640,2013/03/02,1
9049,6165,45582,5640,2013/03/02,1
9050,6166,45149,2460,2013/03/02,1
9050,6166,45637,2460,2013/03/02,1
9051,3198,42816,6359,2013/03/02,1
9051,3198,43609,6359,2013/03/02,1
9052,4989,55072,3960,2013/03/02,3
9052,4989,29080,3960,2013/03/02,3
9052,4989,39253,3960,2013/03/02,3
9053,4989,29080,3960,2013/03/02,1
9053,4989,39253,3960,2013/03/02,1
9053,4989,55072,3960,2013/03/02,1
9054,6168,54548,1180,2013/03/02,1
9055,,32780,980,2013/03/03,1
9056,,44491,880,2013/03/03,1
9057,2448,55065,1680,2013/03/03,1
9058,5297,43344,5586,2013/03/03,1
9058,5297,43471,5586,2013/03/03,1
9058,5297,54931,5586,2013/03/03,1
9058,5297,43600,5586,2013/03/03,1
9059,,54234,2180,2013/03/03,1
9060,,54633,4985,2013/03/03,1
9060,,54592,4985,2013/03/03,1
9061,,43249,1380,2013/03/03,1
9062,6172,43248,4665,2013/03/03,1
9062,6172,54586,4665,2013/03/03,1
9062,6172,45641,4665,2013/03/03,1
9063,6170,54575,1690,2013/03/03,1
9064,1055,55078,963,2013/03/03,1
9065,,44760,9230,2013/03/03,1
9065,,45402,9230,2013/03/03,1
9065,,54117,9230,2013/03/03,1
9065,,54210,9230,2013/03/03,1
9066,4235,54766,1108,2013/03/03,1
9067,,55265,2295,2013/03/03,1
9068,6173,35906,1190,2013/03/03,1
9069,6109,45634,1389,2013/03/03,1
9070,3331,45334,4680,2013/03/03,1
9070,3331,43609,4680,2013/03/03,1
9071,6174,42039,2600,2013/03/03,1
9072,,54605,2795,2013/03/03,1
9073,6177,54362,13290,2013/03/03,1
9073,6177,54327,13290,2013/03/03,1
9073,6177,45367,13290,2013/03/03,1
9073,6177,45097,13290,2013/03/03,1
9073,6177,38635,13290,2013/03/03,1
9073,6177,55273,13290,2013/03/03,1
9074,2091,55414,1000,2013/03/03,1
9075,6178,34390,1695,2013/03/03,1
9076,5809,40191,2460,2013/03/03,3
9076,5809,54338,2460,2013/03/03,3
9077,5076,54431,5152,2013/03/03,1
9077,5076,54619,5152,2013/03/03,1
9078,,43430,1280,2013/03/03,1
9079,4989,28142,3681,2013/03/03,1
9079,4989,44778,3681,2013/03/03,1
9079,4989,34096,3681,2013/03/03,1
9080,,45641,2875,2013/03/03,1
9080,,55084,2875,2013/03/03,1
9081,6182,54802,995,2013/03/03,1
9082,,54606,9600,2013/03/03,1
9082,,55428,9600,2013/03/03,1
9082,,55078,9600,2013/03/03,1
9082,,54779,9600,2013/03/03,1
9082,,55079,9600,2013/03/03,1
9083,3585,54556,2275,2013/03/03,1
9083,3585,54549,2275,2013/03/03,1
9084,,45685,5990,2013/03/03,1
9085,,54962,4835,2013/03/03,1
9085,,54744,4835,2013/03/03,1
9085,,55073,4835,2013/03/03,1
9085,,54961,4835,2013/03/03,1
9086,,44462,980,2013/03/03,1
9087,6183,44756,3190,2013/03/03,1
9088,3162,54582,1990,2013/03/03,3
9089,3162,54582,2190,2013/03/03,1
9090,6044,45448,1731,2013/03/03,1
9090,6044,44462,1731,2013/03/03,1
9091,6187,54234,1680,2013/03/03,1
9092,,55462,1315,2013/03/03,1
9093,,55436,3970,2013/03/03,1
9093,,54572,3970,2013/03/03,1
9094,4881,55424,4960,2013/03/03,3
9094,4881,44765,4960,2013/03/03,3
9095,,55398,3160,2013/03/03,1
9095,,54545,3160,2013/03/03,1
9096,,54235,3295,2013/03/03,1
9096,,36218,3295,2013/03/03,1
9097,2086,21591,372,2013/03/03,1
9098,,45262,4240,2013/03/04,1
9098,,33457,4240,2013/03/04,1
9098,,45636,4240,2013/03/04,1
9099,,55425,4660,2013/03/04,1
9099,,55257,4660,2013/03/04,1
9100,4210,55408,1296,2013/03/04,1
9101,6188,45685,7670,2013/03/04,1
9101,6188,53966,7670,2013/03/04,1
9102,,54116,2180,2013/03/04,1
9103,,55357,4595,2013/03/04,1
9104,6189,54576,1890,2013/03/04,1
9105,6192,54210,2795,2013/03/04,1
9106,4991,54548,980,2013/03/04,3
9107,4991,54548,980,2013/03/04,1
9108,6193,43735,4560,2013/03/04,1
9108,6193,43734,4560,2013/03/04,1
9109,6194,54560,4640,2013/03/04,1
9109,6194,43248,4640,2013/03/04,1
9109,6194,44789,4640,2013/03/04,1
9110,,54635,3305,2013/03/04,1
9111,,55068,3855,2013/03/04,1
9111,,55111,3855,2013/03/04,1
9111,,55378,3855,2013/03/04,1
9112,,55269,2180,2013/03/04,1
9113,,55389,4050,2013/03/04,1
9113,,38020,4050,2013/03/04,1
9113,,54090,4050,2013/03/04,1
9114,6197,43600,4270,2013/03/04,1
9114,6197,54089,4270,2013/03/04,1
9115,6198,23629,58980,2013/03/04,3
9115,6198,23617,58980,2013/03/04,3
9115,6198,23624,58980,2013/03/04,3
9115,6198,23620,58980,2013/03/04,3
9115,6198,23622,58980,2013/03/04,3
9115,6198,23627,58980,2013/03/04,3
9116,,39157,1490,2013/03/04,1
9117,6198,23620,58980,2013/03/04,3
9117,6198,23622,58980,2013/03/04,3
9117,6198,23627,58980,2013/03/04,3
9117,6198,23629,58980,2013/03/04,3
9117,6198,23617,58980,2013/03/04,3
9117,6198,23624,58980,2013/03/04,3
9118,6198,23617,58980,2013/03/04,7
9118,6198,23624,58980,2013/03/04,7
9118,6198,23620,58980,2013/03/04,7
9118,6198,23622,58980,2013/03/04,7
9118,6198,23627,58980,2013/03/04,7
9118,6198,23629,58980,2013/03/04,7
9119,6198,23629,46020,2013/03/04,3
9119,6198,23627,46020,2013/03/04,3
9119,6198,23624,46020,2013/03/04,3
9119,6198,23622,46020,2013/03/04,3
9120,6198,23629,42900,2013/03/04,3
9120,6198,23622,42900,2013/03/04,3
9121,6198,23622,42900,2013/03/04,3
9121,6198,23629,42900,2013/03/04,3
9122,6198,23622,16380,2013/03/04,1
9122,6198,23629,16380,2013/03/04,1
9123,4881,55424,4960,2013/03/04,1
9123,4881,44765,4960,2013/03/04,1
9124,,44491,5740,2013/03/04,1
9124,,54229,5740,2013/03/04,1
9124,,44630,5740,2013/03/04,1
9125,6200,33643,3975,2013/03/04,1
9125,6200,54356,3975,2013/03/04,1
9126,4968,54548,4144,2013/03/04,1
9126,4968,40096,4144,2013/03/04,1
9126,4968,54591,4144,2013/03/04,1
9127,6199,55221,6060,2013/03/04,1
9127,6199,54329,6060,2013/03/04,1
9128,,44452,51870,2013/03/04,1
9129,,54572,2190,2013/03/04,1
9130,6081,55070,4062,2013/03/04,1
9130,6081,44952,4062,2013/03/04,1
9130,6081,54900,4062,2013/03/04,1
9130,6081,54904,4062,2013/03/04,1
9130,6081,43601,4062,2013/03/04,1
9131,6081,54642,3305,2013/03/04,1
9132,2778,55398,4406,2013/03/04,1
9132,2778,43330,4406,2013/03/04,1
9133,6205,54611,4495,2013/03/04,1
9133,6205,36687,4495,2013/03/04,1
9134,6206,30615,22700,2013/03/04,1
9134,6206,30611,22700,2013/03/04,1
9135,,55378,1595,2013/03/04,3
9136,,54545,1180,2013/03/04,1
9137,5764,55114,1595,2013/03/04,1
9138,6208,55157,1680,2013/03/04,1
9139,6202,55273,4940,2013/03/04,1
9139,6202,55452,4940,2013/03/04,1
9139,6202,45627,4940,2013/03/04,1
9140,6199,54804,5064,2013/03/04,1
9140,6199,55257,5064,2013/03/04,1
9140,6199,44964,5064,2013/03/04,1
9141,5840,55400,1228,2013/03/04,1
9142,5954,54573,1626,2013/03/04,1
9143,,44754,3305,2013/03/04,1
9144,5339,36829,3765,2013/03/04,1
9144,5339,54545,3765,2013/03/04,1
9144,5339,43439,3765,2013/03/04,1
9145,292,42920,1689,2013/03/04,1
9146,6152,54551,880,2013/03/04,1
9147,,43248,2860,2013/03/04,1
9147,,43160,2860,2013/03/04,1
9148,6211,55628,1380,2013/03/04,1
9149,,54604,4660,2013/03/04,1
9149,,54272,4660,2013/03/04,1
9150,,54797,2360,2013/03/04,3
9150,,44324,2360,2013/03/04,3
9151,2334,40420,2290,2013/03/04,1
9151,2334,36224,2290,2013/03/04,1
9152,6212,55596,3675,2013/03/04,1
9152,6212,54585,3675,2013/03/04,1
9153,6214,45645,6430,2013/03/04,1
9153,6214,43936,6430,2013/03/04,1
9153,6214,24912,6430,2013/03/04,1
9153,6214,36683,6430,2013/03/04,1
9153,6214,45644,6430,2013/03/04,1
9154,,45362,2295,2013/03/04,1
9155,6215,54421,3890,2013/03/04,1
9155,6215,55241,3890,2013/03/04,1
9156,,54548,3660,2013/03/04,1
9156,,54602,3660,2013/03/04,1
9157,,54802,1295,2013/03/04,1
9158,4004,54079,5275,2013/03/05,1
9158,4004,54081,5275,2013/03/05,1
9159,,54117,3860,2013/03/05,1
9159,,43826,3860,2013/03/05,1
9160,6118,43782,4160,2013/03/05,1
9160,6118,44030,4160,2013/03/05,1
9161,,55370,3480,2013/03/05,1
9162,,55436,3275,2013/03/05,1
9162,,40202,3275,2013/03/05,1
9163,6216,43427,1295,2013/03/05,1
9164,6217,55553,6160,2013/03/05,3
9164,6217,43561,6160,2013/03/05,3
9165,6216,55613,3675,2013/03/05,1
9165,6216,55611,3675,2013/03/05,1
9166,,54363,8970,2013/03/05,1
9166,,41611,8970,2013/03/05,1
9166,,37024,8970,2013/03/05,1
9167,,44102,2180,2013/03/05,1
9168,6218,45222,5150,2013/03/05,1
9168,6218,36836,5150,2013/03/05,1
9168,6218,43931,5150,2013/03/05,1
9169,2834,45365,2975,2013/03/05,1
9169,2834,44472,2975,2013/03/05,1
9170,,55385,7200,2013/03/05,1
9170,,44101,7200,2013/03/05,1
9170,,55117,7200,2013/03/05,1
9170,,55114,7200,2013/03/05,1
9170,,55471,7200,2013/03/05,1
9171,6220,45359,4275,2013/03/05,1
9171,6220,54064,4275,2013/03/05,1
9172,,55611,6420,2013/03/05,1
9172,,54766,6420,2013/03/05,1
9172,,55628,6420,2013/03/05,1
9172,,42602,6420,2013/03/05,1
9173,5941,44122,24900,2013/03/05,1
9173,5941,54418,24900,2013/03/05,1
9173,5941,54600,24900,2013/03/05,1
9173,5941,43924,24900,2013/03/05,1
9173,5941,54241,24900,2013/03/05,1
9173,5941,45605,24900,2013/03/05,1
9173,5941,43337,24900,2013/03/05,1
9173,5941,45342,24900,2013/03/05,1
9173,5941,55084,24900,2013/03/05,1
9173,5941,44101,24900,2013/03/05,1
9173,5941,54292,24900,2013/03/05,1
9173,5941,36857,24900,2013/03/05,1
9174,6221,54778,5020,2013/03/05,3
9174,6221,55072,5020,2013/03/05,3
9174,6221,43248,5020,2013/03/05,3
9174,6221,43246,5020,2013/03/05,3
9175,6221,55072,5020,2013/03/05,1
9175,6221,43248,5020,2013/03/05,1
9175,6221,43246,5020,2013/03/05,1
9175,6221,54778,5020,2013/03/05,1
9176,6222,55578,3060,2013/03/05,1
9176,6222,55576,3060,2013/03/05,1
9177,,43347,2180,2013/03/05,1
9178,,44958,8890,2013/03/05,1
9178,,44930,8890,2013/03/05,1
9178,,54614,8890,2013/03/05,1
9178,,54779,8890,2013/03/05,1
9178,,44324,8890,2013/03/05,1
9178,,54293,8890,2013/03/05,1
9179,6223,40209,995,2013/03/05,1
9180,,54239,2180,2013/03/05,1
9181,6226,55070,995,2013/03/05,1
9182,494,54116,1680,2013/03/05,1
9183,3505,54367,1680,2013/03/05,1
9184,3505,54366,1680,2013/03/05,3
9185,3505,54366,1520,2013/03/05,1
9186,3268,55434,1980,2013/03/05,3
9187,2686,12752,1133,2013/03/05,1
9188,,54229,4275,2013/03/05,1
9188,,54230,4275,2013/03/05,1
9189,6228,54463,3850,2013/03/05,1
9189,6228,55077,3850,2013/03/05,1
9189,6228,43609,3850,2013/03/05,1
9190,,55132,6150,2013/03/05,1
9190,,44643,6150,2013/03/05,1
9190,,54581,6150,2013/03/05,1
9191,,54434,4860,2013/03/05,1
9191,,55597,4860,2013/03/05,1
9192,6230,44058,2180,2013/03/05,1
9193,6233,54602,4360,2013/03/05,1
9193,6233,54270,4360,2013/03/05,1
9194,,55469,1180,2013/03/05,1
9195,6234,36521,1680,2013/03/05,3
9196,,43782,3160,2013/03/05,1
9196,,55070,3160,2013/03/05,1
9197,,54572,1880,2013/03/05,1
9198,6236,54611,13600,2013/03/05,1
9198,6236,55157,13600,2013/03/05,1
9198,6236,55597,13600,2013/03/05,1
9198,6236,55065,13600,2013/03/05,1
9198,6236,54793,13600,2013/03/05,1
9198,6236,55721,13600,2013/03/05,1
9199,6237,55389,1900,2013/03/05,1
9199,6237,55384,1900,2013/03/05,1
9200,6238,36218,2390,2013/03/05,1
9200,6238,43947,2390,2013/03/05,1
9201,,44502,880,2013/03/05,3
9202,4524,55718,1900,2013/03/05,1
9203,5980,55389,900,2013/03/05,1
9204,,54602,4960,2013/03/05,1
9204,,44970,4960,2013/03/05,1
9205,1992,55420,1255,2013/03/05,1
9206,,55585,4465,2013/03/05,1
9206,,42920,4465,2013/03/05,1
9206,,55157,4465,2013/03/05,1
9207,6241,55382,700,2013/03/05,1
9208,,55729,2180,2013/03/05,1
9209,,54599,5160,2013/03/05,1
9209,,54596,5160,2013/03/05,1
9210,,44236,4660,2013/03/05,1
9210,,41602,4660,2013/03/05,1
9211,,44314,9920,2013/03/05,1
9211,,26268,9920,2013/03/05,1
9211,,44128,9920,2013/03/05,1
9211,,45445,9920,2013/03/05,1
9211,,40097,9920,2013/03/05,1
9211,,36696,9920,2013/03/05,1
9211,,32663,9920,2013/03/05,1
9212,6245,43757,1980,2013/03/05,3
9213,,55551,8530,2013/03/05,1
9213,,43248,8530,2013/03/05,1
9213,,43948,8530,2013/03/05,1
9213,,45664,8530,2013/03/05,1
9214,6225,43946,1190,2013/03/05,1
9215,6246,55275,1880,2013/03/05,1
9216,,54601,6640,2013/03/05,1
9216,,38668,6640,2013/03/05,1
9216,,40473,6640,2013/03/05,1
9217,,40471,6840,2013/03/05,1
9217,,33622,6840,2013/03/05,1
9217,,25672,6840,2013/03/05,1
9217,,54358,6840,2013/03/05,1
9218,4330,54959,3355,2013/03/05,1
9218,4330,54426,3355,2013/03/05,1
9218,4330,54424,3355,2013/03/05,1
9219,,54636,2295,2013/03/06,3
9220,6248,55361,6170,2013/03/06,1
9220,6248,44814,6170,2013/03/06,1
9221,1836,55719,1729,2013/03/06,1
9222,6253,55389,700,2013/03/06,3
9223,6253,55389,900,2013/03/06,1
9224,2298,37868,1805,2013/03/06,1
9225,,54433,11030,2013/03/06,1
9225,,54793,11030,2013/03/06,1
9225,,45443,11030,2013/03/06,1
9225,,44969,11030,2013/03/06,1
9225,,43942,11030,2013/03/06,1
9226,,54424,1080,2013/03/06,1
9227,6111,55564,9670,2013/03/06,1
9227,6111,55543,9670,2013/03/06,1
9228,,45420,2480,2013/03/06,1
9229,6206,29755,0,2013/03/06,6
9230,2309,55380,2554,2013/03/06,1
9230,2309,55381,2554,2013/03/06,1
9230,2309,55245,2554,2013/03/06,1
9231,2504,55741,5190,2013/03/06,1
9231,2504,44576,5190,2013/03/06,1
9232,,43597,3875,2013/03/06,1
9232,,54237,3875,2013/03/06,1
9233,,44755,5350,2013/03/06,1
9233,,55628,5350,2013/03/06,1
9233,,54551,5350,2013/03/06,1
9234,6256,55734,14130,2013/03/06,1
9234,6256,44652,14130,2013/03/06,1
9234,6256,55065,14130,2013/03/06,1
9234,6256,43921,14130,2013/03/06,1
9234,6256,54729,14130,2013/03/06,1
9235,,43580,1595,2013/03/06,1
9236,5901,44335,2560,2013/03/06,1
9236,5901,43437,2560,2013/03/06,1
9237,,54244,1980,2013/03/06,1
9238,6257,54551,880,2013/03/06,1
9239,5496,54913,1031,2013/03/06,1
9240,6170,55118,1121,2013/03/06,1
9241,6236,42810,7760,2013/03/06,3
9241,6236,55730,7760,2013/03/06,3
9241,6236,42728,7760,2013/03/06,3
9242,6258,36693,18180,2013/03/06,1
9242,6258,43829,18180,2013/03/06,1
9242,6258,45365,18180,2013/03/06,1
9242,6258,41613,18180,2013/03/06,1
9242,6258,54580,18180,2013/03/06,1
9242,6258,32054,18180,2013/03/06,1
9242,6258,44761,18180,2013/03/06,1
9242,6258,39291,18180,2013/03/06,1
9243,4220,55754,6697,2013/03/06,1
9243,4220,54076,6697,2013/03/06,1
9243,4220,54545,6697,2013/03/06,1
9243,4220,55579,6697,2013/03/06,1
9243,4220,42590,6697,2013/03/06,1
9244,6259,44560,10310,2013/03/06,1
9244,6259,55628,10310,2013/03/06,1
9244,6259,44664,10310,2013/03/06,1
9244,6259,43829,10310,2013/03/06,1
9244,6259,45143,10310,2013/03/06,1
9245,6263,41907,880,2013/03/06,1
9246,6265,55618,2480,2013/03/06,1
9247,6234,36521,3060,2013/03/06,1
9247,6234,54448,3060,2013/03/06,1
9248,4661,41516,2990,2013/03/06,3
9249,6266,54079,1995,2013/03/06,1
9250,4686,55763,3041,2013/03/06,1
9250,4686,55786,3041,2013/03/06,1
9250,4686,55765,3041,2013/03/06,1
9251,,45090,3905,2013/03/06,1
9252,4661,41516,2990,2013/03/06,1
9253,6269,54555,1860,2013/03/06,1
9253,6269,54554,1860,2013/03/06,1
9254,6270,55380,3680,2013/03/06,1
9254,6270,55072,3680,2013/03/06,1
9254,6270,55383,3680,2013/03/06,1
9254,6270,55379,3680,2013/03/06,1
9255,5496,54797,980,2013/03/06,1
9256,,45143,2595,2013/03/06,1
9256,,38892,2595,2013/03/06,1
9257,6251,44123,1680,2013/03/06,1
9258,6170,54079,1874,2013/03/06,1
9259,,54050,3280,2013/03/06,5
9259,,55465,3280,2013/03/06,5
9260,,54089,3190,2013/03/06,1
9261,6245,43757,1680,2013/03/06,1
9262,,55801,2595,2013/03/06,1
9263,6274,43248,1395,2013/03/06,1
9264,,43894,1805,2013/03/06,1
9265,4314,45320,4639,2013/03/06,1
9265,4314,45669,4639,2013/03/06,1
9265,4314,45257,4639,2013/03/06,1
9266,4314,45331,2771,2013/03/06,1
9267,,54225,2295,2013/03/06,3
9268,5227,43479,6990,2013/03/06,1
9268,5227,44567,6990,2013/03/06,1
9268,5227,43224,6990,2013/03/06,1
9269,6255,55627,5020,2013/03/06,1
9269,6255,55628,5020,2013/03/06,1
9269,6255,55416,5020,2013/03/06,1
9269,6255,55418,5020,2013/03/06,1
9270,6279,54051,3670,2013/03/06,1
9270,6279,35104,3670,2013/03/06,1
9271,6274,54359,1894,2013/03/06,1
9272,5882,37343,6730,2013/03/06,1
9272,5882,36314,6730,2013/03/06,1
9272,5882,54603,6730,2013/03/06,1
9272,5882,44653,6730,2013/03/06,1
9273,6215,55740,3840,2013/03/06,1
9274,6280,40214,1975,2013/03/06,1
9274,6280,40196,1975,2013/03/06,1
9275,6273,55271,1995,2013/03/06,1
9276,6283,45116,4985,2013/03/06,1
9276,6283,42753,4985,2013/03/06,1
9277,,45627,5920,2013/03/06,1
9277,,55260,5920,2013/03/06,1
9277,,43248,5920,2013/03/06,1
9277,,54956,5920,2013/03/06,1
9278,6206,30442,2200,2013/03/06,1
9279,5174,54100,8720,2013/03/06,1
9279,5174,44477,8720,2013/03/06,1
9279,5174,54611,8720,2013/03/06,1
9279,5174,44308,8720,2013/03/06,1
9279,5174,45598,8720,2013/03/06,1
9280,,42978,10970,2013/03/06,1
9280,,44335,10970,2013/03/06,1
9280,,45220,10970,2013/03/06,1
9280,,55084,10970,2013/03/06,1
9280,,55585,10970,2013/03/06,1
9280,,43593,10970,2013/03/06,1
9280,,55757,10970,2013/03/06,1
9281,6286,55103,5250,2013/03/06,1
9281,6286,42812,5250,2013/03/06,1
9281,6286,35104,5250,2013/03/06,1
9281,6286,37902,5250,2013/03/06,1
9282,6277,55378,5120,2013/03/06,1
9282,6277,55383,5120,2013/03/06,1
9282,6277,44426,5120,2013/03/06,1
9282,6277,55380,5120,2013/03/06,1
9283,,43772,2580,2013/03/06,1
9284,,45641,3085,2013/03/06,1
9284,,43942,3085,2013/03/06,1
9285,,54551,1295,2013/03/06,1
9286,,55072,3160,2013/03/06,1
9286,,55839,3160,2013/03/06,1
9287,4386,43248,2770,2013/03/06,1
9287,4386,54968,2770,2013/03/06,1
9288,6288,43062,2775,2013/03/07,1
9288,6288,30407,2775,2013/03/07,1
9289,2608,55261,3460,2013/03/07,1
9289,2608,44037,3460,2013/03/07,1
9290,2117,42347,5386,2013/03/07,1
9290,2117,43226,5386,2013/03/07,1
9291,6290,31416,5060,2013/03/07,1
9291,6290,54260,5060,2013/03/07,1
9292,,44775,5850,2013/03/07,1
9292,,54545,5850,2013/03/07,1
9292,,54089,5850,2013/03/07,1
9293,,55383,4155,2013/03/07,1
9293,,55109,4155,2013/03/07,1
9293,,55378,4155,2013/03/07,1
9294,6275,55106,5030,2013/03/07,1
9294,6275,55585,5030,2013/03/07,1
9294,6275,54100,5030,2013/03/07,1
9294,6275,55109,5030,2013/03/07,1
9295,,55835,6470,2013/03/07,3
9295,,45421,6470,2013/03/07,3
9296,6170,55773,1280,2013/03/07,3
9298,,55835,6470,2013/03/07,1
9298,,45421,6470,2013/03/07,1
9299,6294,55792,6820,2013/03/07,1
9299,6294,55461,6820,2013/03/07,1
9299,6294,44483,6820,2013/03/07,1
9299,6294,54440,6820,2013/03/07,1
9300,1796,55839,5617,2013/03/07,1
9300,1796,55835,5617,2013/03/07,1
9301,6236,42728,14000,2013/03/07,1
9301,6236,45664,14000,2013/03/07,1
9301,6236,55835,14000,2013/03/07,1
9301,6236,55855,14000,2013/03/07,1
9302,6262,55412,3675,2013/03/07,1
9302,6262,54329,3675,2013/03/07,1
9303,6296,44497,2955,2013/03/07,1
9303,6296,44503,2955,2013/03/07,1
9303,6296,44491,2955,2013/03/07,1
9304,6297,54284,9110,2013/03/07,1
9304,6297,43806,9110,2013/03/07,1
9304,6297,44788,9110,2013/03/07,1
9304,6297,55267,9110,2013/03/07,1
9304,6297,45117,9110,2013/03/07,1
9305,,42918,2295,2013/03/07,1
9306,6170,55773,1102,2013/03/07,1
9307,5903,38376,4747,2013/03/07,1
9307,5903,45617,4747,2013/03/07,1
9307,5903,44236,4747,2013/03/07,1
9308,6300,45407,1690,2013/03/07,1
9309,6301,54598,2495,2013/03/07,1
9310,5745,39116,6731,2013/03/07,1
9310,5745,43833,6731,2013/03/07,1
9310,5745,42991,6731,2013/03/07,1
9311,6303,55844,5970,2013/03/07,1
9311,6303,44127,5970,2013/03/07,1
9312,,54225,2295,2013/03/07,3
9313,,44772,1880,2013/03/07,3
9314,6135,55257,6170,2013/03/07,1
9314,6135,55259,6170,2013/03/07,1
9314,6135,54766,6170,2013/03/07,1
9314,6135,35035,6170,2013/03/07,1
9315,,45354,3595,2013/03/07,3
9316,3295,43248,4620,2013/03/07,1
9316,3295,55067,4620,2013/03/07,1
9316,3295,55111,4620,2013/03/07,1
9316,3295,54548,4620,2013/03/07,1
9317,6305,32785,995,2013/03/07,1
9318,,43248,4140,2013/03/07,3
9318,,55625,4140,2013/03/07,3
9318,,33783,4140,2013/03/07,3
9319,,33783,4140,2013/03/07,1
9319,,43248,4140,2013/03/07,1
9319,,55625,4140,2013/03/07,1
9320,,44811,2795,2013/03/07,3
9321,3106,55077,2960,2013/03/07,3
9321,3106,45362,2960,2013/03/07,3
9322,6306,54549,3540,2013/03/07,1
9322,6306,45219,3540,2013/03/07,1
9322,6306,54550,3540,2013/03/07,1
9323,,43313,11240,2013/03/07,1
9323,,55093,11240,2013/03/07,1
9323,,42975,11240,2013/03/07,1
9323,,42977,11240,2013/03/07,1
9324,4909,34706,4000,2013/03/07,1
9324,4909,55238,4000,2013/03/07,1
9325,,45402,1990,2013/03/07,1
9326,,54640,3595,2013/03/07,3
9327,5883,44950,895,2013/03/07,1
9328,3106,55077,2802,2013/03/07,3
9328,3106,45362,2802,2013/03/07,3
9329,3106,55077,2802,2013/03/07,1
9329,3106,45362,2802,2013/03/07,1
9330,,38778,2180,2013/03/07,3
9331,6308,54270,1580,2013/03/07,1
9332,6294,54938,3048,2013/03/07,1
9333,6309,45244,1380,2013/03/07,1
9334,6312,55111,4285,2013/03/07,1
9334,6312,42750,4285,2013/03/07,1
9335,,55098,7140,2013/03/07,1
9335,,55096,7140,2013/03/07,1
9335,,54890,7140,2013/03/07,1
9336,5314,55106,2260,2013/03/07,3
9336,5314,54545,2260,2013/03/07,3
9337,6054,44761,2694,2013/03/07,1
9338,6314,54558,1975,2013/03/07,1
9338,6314,54553,1975,2013/03/07,1
